Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2801,26/05/2015,UrbanPro,On-demand Service marketplace,,Bangalore,Nirvana Venture Advisors,Private Equity,"20,00,000",Series A
2802,26/05/2015,Goodbox,On-Demand Business messaging,,Bangalore,Manipal Group,Seed Funding,"2,00,000",
2803,26/05/2015,Renderlogy,Online Home D\\xc3\\xa9cor,,Hyderabad,Astarc Ventures,Private Equity,"10,00,000",Series A
2804,27/05/2015,Postman,API Workflow platform,,Bangalore,Nexus Venture Partners,Seed Funding,"10,00,000",Series A
2805,27/05/2015,Casa2inns,Affordable Hotel Booking Online,,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"50,00,000",Series A
2806,27/05/2015,FleetRover,Logistics Intelligence,,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"1,80,000",
2807,28/05/2015,TheKarrier,Last Mile Logistics,,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"2,40,000",
2808,28/05/2015,Zoomcar,Self-driven Car rental,,Bangalore,Sequoia Capital,Private Equity,"50,00,000",Series B Interim Funding
2809,28/05/2015,Truweight,Weight Management Service,,Hyderabad,Kalaari Capital,Private Equity,,Series A
2810,30/05/2015,Ather Energy,Electric Scooter Manufacturer,,Bangalore,Tiger Global,Private Equity,"1,20,00,000",Series A
2811,03/04/2015,Swiggy,Online Food Delivery,,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"20,00,000",Series A
2812,04/04/2015,Bluegape,Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"2,00,000",
2813,04/04/2015,KeepTrax,Location Based App,,Dallas / Hyderabad,,Seed Funding,"10,00,000",
2814,06/04/2015,InstaLively,Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"1,20,000",
2815,07/04/2015,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"1,65,000",
2816,07/04/2015,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"15,00,00,000",Series G (Check prev funding details here)
2817,07/04/2015,PressPlay,Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"22,00,000",
2818,07/04/2015,LogiNext,Logistics Tech,,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,,
2819,08/04/2015,FirstCry.com,eCommerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,"1,00,00,000","Series D ( In Feb it was announced they raised 26M, but it is 36M, so added here)"
2820,08/04/2015,MobiKwik,Digital / Mobile Wallet,,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"2,50,00,000",Series B
2821,08/04/2015,Olacabs,Cab Aggregator,,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"40,00,00,000",Series E (Updated from 315M to 400M after Press Release)
