Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
513,24/11/2017,IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,"1,00,00,000",
514,24/11/2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"2,50,000",
515,27/11/2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,"27,00,00,000",
516,27/11/2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,"39,000",
517,27/11/2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,"38,00,000",
518,28/11/2017,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,"1,30,00,000",
519,28/11/2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,"15,00,000",
520,28/11/2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"13,50,000",
521,28/11/2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,"20,00,000",
522,03/10/2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,,
523,03/10/2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,,
524,03/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,"11,00,00,000",
525,04/10/2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,,
526,04/10/2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,"3,06,000",
527,04/10/2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,"3,87,00,000",
528,05/10/2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"10,00,000",
529,05/10/2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,"4,50,000",
530,05/10/2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"92,00,000",
531,06/10/2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,"31,00,000",
532,06/10/2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"80,00,000",
533,06/10/2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"1,00,00,000",
534,06/10/2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,"20,00,000",
535,09/10/2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,,
536,09/10/2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"27,00,000",
537,09/10/2017,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,,
538,09/10/2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,,
539,09/10/2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,"3,36,000",
540,09/10/2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,,
541,10/10/2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,"14,00,000",
542,10/10/2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,"45,00,000",
543,11/10/2017,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"31,00,000",
544,11/10/2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,"11,00,000",
545,12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,"2,35,000",
546,13/10/2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,"7,70,00,000",
547,13/10/2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"2,50,000",
548,13/10/2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,"20,00,000",
549,16/10/2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,"80,00,000",
550,16/10/2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,"92,00,000",
551,17/10/2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,"70,00,000",
552,18/10/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,"70,00,000",
553,18/10/2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,,
554,18/10/2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,"77,00,000",
555,18/10/2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,"5,00,000",
556,23/10/2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"70,00,000",
557,23/10/2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"60,00,000",
558,23/10/2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,"31,00,000",
559,23/10/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"1,18,000",
560,24/10/2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,,
561,24/10/2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"5,00,000",
562,24/10/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"30,00,000",
563,24/10/2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,"7,22,000",
564,24/10/2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,,
565,25/10/2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,,
566,25/10/2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"5,50,000",
567,26/10/2017,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,"50,00,000",
568,27/10/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,"38,00,000",
569,27/10/2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,,
570,28/10/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,"1,20,000",
571,28/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,"77,00,000",
572,30/10/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"20,00,000",
573,31/10/2017,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"1,40,00,000",
574,31/10/2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"3,20,00,000",
575,01/09/2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,"10,00,000",
576,01/09/2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"15,00,000",
577,01/09/2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,"13,00,000",
578,04/09/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"56,00,000",
579,05/09/2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"15,00,000",
580,05/09/2017,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"6,00,000",
581,06/09/2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"1,07,50,000",
582,06/09/2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,"1,00,00,000",
583,06/09/2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,"60,00,000",
584,06/09/2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"2,60,00,000",
585,07/09/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,"50,00,000",
586,07/09/2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,,
587,07/09/2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,00,00,000",
588,07/09/2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,"7,80,000",
589,07/09/2017,MamaEarth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,,
590,07/09/2017,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,"10,00,000",
591,08/09/2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,"69,00,000",
592,08/09/2017,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,,
